"","row_names","id","created","contract_time","contract_type","salary_min","salary_max","salary_is_predicted","description","title","company.display_name","company.canonical_name","category.tag","category.label","location.display_name","longitude","latitude","date_queried","available_today","location_coords","day_created"
"2473","1307","400022703","2016-06-16",NA,"permanent",32269.72,32269.72,"1","...  imputation, logistic regression, Poisson regression, models for count <strong>data</strong>, smoothing techniques Pop <strong>Science</strong> are an innovative, personal and experienced recruitment and staffing consultancy ...","Statistician","Popscience Limited",NA,"healthcare-nursing-jobs","Healthcare & Nursing Jobs","London, UK",-0.139134,51.503378,"2016-06-23 00:03:39",FALSE,"-0.139134 51.503378",2016-06-16
"2484","1318","401718173","2016-06-21",NA,NA,50000,59999,"0",".You will also understand/be aware of Computer <strong>Science</strong> fundamentals in <strong>data</strong> structures, algorithm design and complexity analysis. It's a highly parallel, low latency environment running ...","Distributed Application Developer (Middleware, Java, NET) GBP70k","Jobg8",NA,"unknown","Unknown","Staffordshire, West Midlands",-2.129014,52.812705,"2016-06-23 00:03:39",FALSE,"-2.129014 52.812705",2016-06-21
"2485","1319","402116406","2016-06-22",NA,"permanent",45000,55000,"0","...  protection, incident handling & response, forensics, endpoint protection & encryption  Strong understanding of computer <strong>science</strong>: algorithms, <strong>data</strong> structures, databases, operating systems ...","Senior SOC Analyst","Lorien",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-23 00:03:39",FALSE,"-0.139134 51.503378",2016-06-22
"2505","1345","401026316","2016-06-18",NA,"permanent",60000,85000,"0","...  Regulations ITAR dataBachelor of Science BSc degree in Computer <strong>Science</strong> / <strong>Data</strong> CommunicationsConsistent integration and implementation of security solutions at the business unit levelAt ...","Application Security Engineer CISSP, Cloud, Web, Telecoms","Concept Resourcing",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-23 00:03:39",FALSE,"-0.139134 51.503378",2016-06-18
"2512","1352","386555494","2016-05-11",NA,NA,25000,25000,"0","...  consultancy to clients Keep up to date with the latest SEO and Analytics techniques Training and upscaling team members Have passion for technology About the agency They provide the <strong>science</strong> ... , <strong>data</strong> and strategy behind online recruitment. They are the UK market-leader in this specialist online sector and work with some of the world’s largest and most successful companies ...","SEO Specialist","Amaze Recruitment Ltd",NA,"creative-design-jobs","Creative & Design Jobs","Woking, Surrey",-0.55908,51.316799,"2016-06-23 00:03:39",FALSE,"-0.55908 51.316799",2016-05-11
"2513","1354","397590868","2016-06-09",NA,"permanent",45000,50000,"0",". - Maintain a current level of utility market and policy changes intelligence - Understand Utility supply trading arrangements - Analyze Utility profiles and benchmark against known <strong>data</strong> ... . Essential - Engineering or Applied <strong>Science</strong> degree in an energy related subject or equivalent - Member of or working towards professional membership - IOSH Managing Safely - Minimum 5 years ...","Energy Manager","BBL Technical Ltd",NA,"engineering-jobs","Engineering Jobs","South West London, London",NA,NA,"2016-06-23 00:03:39",FALSE,"NA NA",2016-06-09
"2535","7","399281599","2016-06-14",NA,NA,40000,40000,"0","/ Scala, SQL, and multiple open-source technologies. You will specifically developing Oracle's Big Data Appliance to make data available for cutting-edge <strong>Data</strong> <strong>Science</strong> ...  language, Unix and a real passion for people and technology. THE ROLE: As a <strong>Data</strong> <strong>Science</strong> Engineer/ <strong>Data</strong> Engineer you will: Be responsible for making data available for Data Scientists ...","<strong>Data</strong> <strong>Science</strong> Engineer","Harnham",NA,"it-jobs","IT Jobs","Leeds, West Yorkshire",-1.54912,53.799599,"2016-06-24 00:03:40",FALSE,"-1.54912 53.799599",2016-06-14
"2539","12","396202071","2016-06-06",NA,"permanent",45794.52,45794.52,"1","...  and pricing of risk would be of particular interest Skills and a track record in quantitative analytics, and /or <strong>data</strong> <strong>science</strong> ideally applied to physical infrastructure or plant Developed IT ...","Analytics and <strong>Data</strong> <strong>Science</strong> Specialist",NA,NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-06
"2548","21","398886773","2016-06-12",NA,NA,68731.27,68731.27,"1","...  with their teams, the <strong>Data</strong> <strong>Science</strong> lead and business analysts and software engineers within NPD to contribute to the advanced data analytics efforts of the New Product Development group ...  approaches from <strong>data</strong> <strong>science</strong> research Investigate <strong>data</strong> visualization and summarization techniques for conveying key findings Communicate findings and obstacles to stakeholders to help drive ...","CIB Chief <strong>Data</strong> <strong>Science</strong> Office – <strong>Data</strong> <strong>Science</strong> and Analytics – Vice President - London","J.P Morgan","J.P. Morgan","accounting-finance-jobs","Accounting & Finance Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-12
"2559","32","402167425","2016-06-22","full_time","contract",80000,1e+05,"0","<strong>Data</strong> <strong>Science</strong> Architect - Trading My client is a world leading commodities trading company based in the heart of London. They are currently going through an exciting period ...  of growth within data and data analytics and as part of this are looking to bring on a Senior <strong>Data</strong> <strong>Science</strong> Architect.Reporting directly into the CTO you will work directly with all areas ...","<strong>Data</strong> <strong>Science</strong> Architect - Trading",NA,NA,"unknown","Unknown","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-22
"2582","56","402801196","2016-06-23",NA,NA,61066.55,61066.55,"1","Senior Manager- <strong>Data</strong> <strong>Science</strong>- Consultancy You'll work as part of a team of industry technology specialists providing consulting services to top tier financial services ...","Senior Manager - <strong>Data</strong> <strong>Science</strong> - Consultancy","Harnham",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-23
"2586","60","398443434","2016-06-11",NA,NA,43823.57,43823.57,"1","Join our team and be part of an independent research organization coordinating interdisciplinary European projects. We are currently looking for researchers, who intend to submit an application for a MSCA Individual Fellowship. This Individual Fellowship program is open for experienced researchers, who have either a doctoral degree or at least four years’ full-time research experience by the time of the call deadline. In particular, we are searching for committed postdocs or experienced scholar…","MSCA - Expression of Interest - <strong>DATA</strong> <strong>SCIENCES</strong>",NA,NA,"scientific-qa-jobs","Scientific & QA Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-11
"2595","69","402341845","2016-06-22",NA,NA,59723.12,59723.12,"1","Marketing Analytics/<strong>Data</strong> <strong>Science</strong> Lead - London Up to £75,000  Excellent Benefits THE COMPANY A leading Retail/eCommerce brand are on the lookout for an experienced Marketing ...  been involved with <strong>Data</strong> <strong>Science</strong> projects (using R or Python), looking to make the permanent move into the <strong>Data</strong> <strong>Science</strong> space. THE ROLE They are specifically looking for someone from ...","Marketing Analytics/<strong>Data</strong> <strong>Science</strong> Lead - London","Harnham",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-22
"2607","84","392801465","2016-05-27",NA,"permanent",50000,60000,"0","Lead Analyst - Digital / <strong>Data</strong> <strong>Science</strong> / Loyalty CLIENT Opportunity to learn SAS and R if you have not used these tools beforeBig Data environment, opportunity to apply Machine ...  a background within retail or loyalty POSITION - Lead Analyst - Digital / <strong>Data</strong> <strong>Science</strong> / Loyalty LOCATION - London SALARY - £45k - £55k plus excellent benefits and 15% bonus TO APPLY ...","Lead Analyst - Digital / <strong>Data</strong> <strong>Science</strong> / Loyalty",NA,NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-05-27
"2610","87","402562765","2016-06-23",NA,"permanent",45000,60000,"0","iOS Developer - <strong>Data</strong> <strong>Science</strong>, Analytics, Intelligence Super chance for vastly experienced iOS Developer to join world class engineering team in the heart of London. With over 5 ...","iOS Developer - <strong>Data</strong> <strong>Science</strong>, Analytics, Intelligence","Monarch Digital",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-23
"2611","88","402615955","2016-06-23","full_time",NA,45000,60000,"0","iOS Developer - <strong>Data</strong> <strong>Science</strong>, Analytics, Intelligence Super chance for vastly experienced iOS Developer to join world class engineering team in the heart of London. With over 5 ...","iOS Developer - <strong>Data</strong> <strong>Science</strong>, Analytics, Intellige","Monarch Digital",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-23
"2612","89","392469879","2016-05-27","full_time","permanent",45000,55000,"0","Lead Analyst - Digital / <strong>Data</strong> <strong>Science</strong> / Loyalty CLIENT Opportunity to learn SAS and R if you have not used these tools before Big Data environment, opportunity to apply Machine ...  a background within retail or loyalty POSITION - Lead Analyst - Digital / <strong>Data</strong> <strong>Science</strong> / Loyalty LOCATION - London SALARY - 45k - 55k plus excellent benefits and 15% bonus TO APPLY ...","Lead Analyst - Digital / <strong>Data</strong> <strong>Science</strong> / Loyalty","Blue Pelican",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-05-27
"2618","95","402469399","2016-06-23",NA,"permanent",1e+05,120000,"0","Head of <strong>Data</strong> <strong>Science</strong> - Marketing Analytics - London - Up to £120k An exciting new role has opened for a Head of Analytics position, sitting within the <strong>data</strong> <strong>science</strong> and marketing ...  science teams, this role will blend together multi-functional marketing analytics and traditional <strong>data</strong> <strong>science</strong>. This is a leadership position to head up the <strong>data</strong> <strong>science</strong> teams with…","Head of <strong>Data</strong> <strong>Science</strong> - Marketing Analytics - London - Up to £12","Parallel Consulting",NA,"it-jobs","IT Jobs","South East England, UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-23
"2622","100","402462938","2016-06-23",NA,NA,110000,110000,"0","C# Developer / <strong>Data</strong> <strong>Science</strong> Developer (C# .Net, R). Hedge Fund with hundreds of millions of dollars under management is seeking a highly skilled C# Developer to join a ta<strong>lent</strong> ... e experience with R or other statistical analysis software<strong> As </strong>a<strong> C</strong># Developer / Data Science Developer you can expect to earn a highly competitive salary (to £110k) plus a significant bonus  ...","C# Developer Greenfield R C# Net - <strong>Data</strong> <strong>Science</strong>","Client Server",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-23
"2623","101","402141267","2016-06-22",NA,NA,70000,99999,"0","Senior Data Scientist - Machine Learning, NLP - Kick off a <strong>Data</strong> <strong>Science</strong> Team - London - Up to GBP75k My client, a multi-million pound funded start-up, are looking ...  plans to grow their team profoundly over the next 6-12 months and are looking for someone to come in and kick off their <strong>Data</strong> <strong>Science</strong> Team. This role will progress your personal ...","Senior Data Scientist - Machine Learning, NLP - Kick off a <strong>Data</strong> <strong>Scienc</strong>","Jobg8",NA,"unknown","Unknown","London, UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-22
"2624","102","402341186","2016-06-22",NA,NA,48137.9,48137.9,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","Berkshire, South East England",-0.937789,51.452002,"2016-06-24 00:03:40",FALSE,"-0.937789 51.452002",2016-06-22
"2625","103","402341216","2016-06-22",NA,NA,47658.39,47658.39,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","Hertfordshire, Eastern England",-0.219628,51.841806,"2016-06-24 00:03:40",FALSE,"-0.219628 51.841806",2016-06-22
"2626","104","402341441","2016-06-22",NA,NA,47695.88,47695.88,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","Surrey, South East England",-0.4677,51.253928,"2016-06-24 00:03:40",FALSE,"-0.4677 51.253928",2016-06-22
"2627","105","402342998","2016-06-22",NA,NA,45767.34,45767.34,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","Bristol, South West England",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-22
"2628","106","402343037","2016-06-22",NA,NA,45198.67,45198.67,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","Devon, South West England",-3.736703,50.712485,"2016-06-24 00:03:40",FALSE,"-3.736703 50.712485",2016-06-22
"2629","107","402343064","2016-06-22",NA,NA,46215.54,46215.54,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","Dorset, South West England",-2.333655,50.811879,"2016-06-24 00:03:40",FALSE,"-2.333655 50.811879",2016-06-22
"2630","108","402343251","2016-06-22",NA,NA,46844.67,46844.67,"1","An Unmissable opportunity for a skilled Senior Java Developer to join a rapidly growing, award winning & international, <strong>data</strong> <strong>science</strong> and technology agency led by an experienced ...","Senior Java Developer - Award winning predictive <strong>data</strong> <strong>science</strong> & analytics brand","Caerusa Consulting Ltd",NA,"it-jobs","IT Jobs","West Sussex, South East England",-0.514944,50.934212,"2016-06-24 00:03:40",FALSE,"-0.514944 50.934212",2016-06-22
"2650","129","392820297","2016-05-28","full_time","permanent",33000,80000,"0","Data Scientist with strong Python skills required to discover insights and structures hidden in vast amounts of data. Ideally somebody from a Mathematics, Statistics, and Coding background with experience in tackling Big Data problems whilst being comfortable in a job requiring agility, curiosity, and continuous improvement. If you want to work on a completely new and unique product with some of the brightest people in the industry and you have strong Python programming skills. Including Numpy,…","<strong>Data</strong> Scientist - Leading <strong>Data</strong> <strong>Science</strong> Team - UK's best Big Data","Consulting Point",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-05-28
"2651","131","400747738","2016-06-17",NA,NA,17709.4,17709.4,"1","Num. of articles: 8 Words per article: 600 Blog/website url: www.cquensys.com/blog Information for the blog/website: We are a Big Data Consulting firm Industry: Business Topic: Big Data, Data Analytics, Data Governance Tone: Formal/Professional Outline & Structure: Well researched SEO Standards to be followed No plagiarism Extensive research needed: yes Extra notes:","Looking for writers who specialise in Technical/<strong>Data</strong> <strong>Science</strong> area",NA,NA,"part-time-jobs","Part time Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-17
"2659","140","387741836","2016-05-14",NA,NA,96000,96000,"0",". Responsibilities: Help identify new opportunities within <strong>Data</strong> <strong>Science</strong> to aid in categorising new solutions for client requirements. Categorise customer content data using machine learning ...  and stakeholders Support in the delivery of projects on time and to a high standard whilst supporting the market needs. Support the roll-out of new <strong>Data</strong> <strong>Science</strong> methods, technologies and thinking ...","Data Scientist/Data Analyst","Experis Ltd",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-24 00:03:40",FALSE,"-0.02806 51.451818",2016-05-14
"2674","156","400993563","2016-06-18",NA,NA,70000,85000,"0","Responsibilities: Use knowledge of core techniques from <strong>data</strong> <strong>science</strong> to solve analytical problems, improving FCA operations or, for example, understanding the different types ...  members of the team and make sure that it reflects <strong>data</strong> <strong>science</strong> best practice. Skills Required: Excellent knowledge of <strong>data</strong> <strong>science</strong> methods including supervised (e.g. stepwise, LASSO ...","Data Scientist","Investigo Banking and Financial Services",NA,"accounting-finance-jobs","Accounting & Finance Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-18
"2676","158","400751521","2016-06-17",NA,"permanent",0,55000,"0","...  will utilise analytical techniques and/or new data sets and assist in project delivery for <strong>Data</strong> <strong>Science</strong> work plans that will improve customer understanding and help drive clients' growth ... . Responsibilities: Help identify new opportunities within the <strong>Data</strong> <strong>Science</strong> space to help identify new opportunities for future solutions. Support in the delivery of projects on time and to a high ...","Data Scientist- 12 month Fixed Term Contract","Hanover IT Recruitment",NA,"it-jobs","IT Jobs","Manchester, Greater Manchester",-2.23438,53.480701,"2016-06-24 00:03:40",FALSE,"-2.23438 53.480701",2016-06-17
"2678","160","400407815","2016-06-17",NA,"contract",22559.84,22559.84,"1","Big Data Analyst – Norwich, Norfolk - £10-15 per hour This is a temporary opportunity to work as a Data Analyst within an existing <strong>Data</strong> <strong>Science</strong> team. This role would suit a recent ...  Graduate looking for commercial experience within and <strong>Data</strong> <strong>Science</strong> Team. Using analysis and reporting of available customer and business data to deliver insight that will inform business ...","DATA ANALYST (Big-Data) - 1 Month temporary opportunity",NA,NA,"it-jobs","IT Jobs","Thetford, Norfolk",0.752958,52.4146,"2016-06-24 00:03:40",FALSE,"0.752958 52.4146",2016-06-17
"2685","167","400750306","2016-06-17",NA,"contract",56141.11,56141.11,"1","...  to operationalise it Text analytics doing comparisons between different pieces of text to assess similarities Working with risk <strong>data</strong> <strong>science</strong> teams for proof of concepts Developing using public API ... ’s to support their <strong>data</strong> <strong>science</strong> capability Ideally applicants will have experience of: Content management Machine learning Text data mining Database design ‘Natural Language Processing ...","Python Developer - Scripting - Financial Services","Elevate Direct",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-24 00:03:40",FALSE,"-0.02806 51.451818",2016-06-17
"2696","179","398464022","2016-06-11",NA,"contract",84000,132000,"0","Data, analytics, stakeholders, smart, Insights, <strong>Data</strong> <strong>science</strong>, operations, <strong>data</strong> analysis, reporting, SQL, SQL Developer, Management Studio, Relational Database, Oracle, MS SQL ... , capable of understanding complex technical environments and technologies used to create, maintain, and operate reporting and analysis and <strong>data</strong> <strong>science</strong> functions for our Smart Technology ...","Smart Technical Insight Analyst / Data Scientist","Pontoon",NA,"scientific-qa-jobs","Scientific & QA Jobs","Surrey, South East England",-0.4677,51.253928,"2016-06-24 00:03:40",FALSE,"-0.4677 51.253928",2016-06-11
"2697","180","400575279","2016-06-17",NA,NA,50000,50000,"0","...  As an experienced Lead Data Scientist you will be required to be the focal point for the development of a new <strong>Data</strong> <strong>Science</strong> function within the business. As a Lead Data Scientist you ...  will be responsible for the execution of new <strong>data</strong> <strong>science</strong> activities and for building new <strong>Data</strong> <strong>Science</strong> platforms which will allow the business to use, manipulate and analyse large data sets You ...","Data Scientist","Searchability",NA,"it-jobs","IT Jobs","Manchester, Greater Manchester",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-17
"2705","189","394141048","2016-06-01",NA,NA,24108.33,24108.33,"1","Data Engineer salary negotiable Wales J9032 The Data Engineer role with help streamline and simplify the data process so the Statisticians within the <strong>Data</strong> <strong>Science</strong> Team can better ...","Data Engineer",NA,NA,"other-general-jobs","Other/General Jobs","Swansea, Wales",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-01
"2715","202","402801393","2016-06-23",NA,NA,46069.72,46069.72,"1","Data Scientist / Bayesian Engineer The Data Scientist / Bayesian Engineer will join an expanding <strong>Data</strong> <strong>Science</strong> team, working on cutting edge predictive modelling and optimisation ...  projects and play a lead role in setting the <strong>Data</strong> <strong>Science</strong> strategy. From understanding all aspects of the customer journey, ...","Data Scientist / Bayesian Engineer","Resource Flow",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-23
"2717","204","394294541","2016-06-01",NA,NA,42862.79,42862.79,"1","Data Scientist / Bayesian Engineer The Data Scientist / Bayesian Engineer will join an expanding <strong>Data</strong> <strong>Science</strong> team, working on cutting edge predictive modelling and optimisation ...  projects and play a lead role in setting the <strong>Data</strong> <strong>Science</strong> strategy. From understanding all aspects of the customer journey, to analysing the competitiveness in the marketplace ...","Data Scientist / Bayesian Engineer","Resource Flow",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-01
"2721","209","400751302","2016-06-17",NA,"permanent",65000,95000,"0","...  proven production experience solving real problems using <strong>data</strong> <strong>science</strong> techniques and be self-sufficient technically, able to be productive without the aid of other developers. You must ...  within a commercial environment. You will be passionate about <strong>data</strong> <strong>science</strong> and be active within the <strong>data</strong> <strong>science</strong> community through meetups, conferences and publishing articles. Ideally ...","Lead Data Scientist - Predictive modelling, Machine learning, SQL, Python, R, Statistics","Opus Recruitment Solutions Ltd",NA,"it-jobs","IT Jobs","The City, Central London",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-17
"2733","222","396903348","2016-06-07",NA,NA,58578.88,58578.88,"1","Data Scientist <strong>Data</strong> Analytics Consultant <strong>Data</strong> <strong>Science</strong> Advanced <strong>Data</strong> Analytics Machine Learning Spark Apache Spark Open Source Hadoop Hive Impala Pig Mahout R Python PostgreSQL ...","Data Scientist Data Analytics Consultant Consultancy Client",NA,NA,"other-general-jobs","Other/General Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-07
"2746","235","387325458","2016-05-13",NA,NA,20000,20000,"0","...  for someone looking to develop their skills in <strong>data</strong> <strong>science</strong>, <strong>data</strong> analytics and data management. Salary £20k to £30k plus 25 days holiday If you feel you meet the above criteria please apply ...","Data Officer; SQL, VBA, Excel; London Victoria Stn £20 - £30K","Langley James",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-24 00:03:40",FALSE,"-0.02806 51.451818",2016-05-13
"2748","239","387284360","2016-05-13",NA,"contract",53000,53000,"0","Big <strong>Data</strong>  <strong>Data</strong> <strong>Science</strong>  R  Python  Machine Learning  Predictive Analytics This is a brilliant opportunity for an experienced Data Scientist to join one of MBN's leading financial ...  of <strong>Data</strong> <strong>Science</strong> innovation and developments. - Being a key point of contact on queries regarding predictive analytics. - Explore new sources of data, techniques and implementation routes ...","Data Scientist (Edinburgh)","MBN Recruitment Solutions Ltd",NA,"accounting-finance-jobs","Accounting & Finance Jobs","Edinburgh",-3.18754,55.950199,"2016-06-24 00:03:40",FALSE,"-3.18754 55.950199",2016-05-13
"2758","249","392794851","2016-05-27",NA,"permanent",51336.84,51336.84,"1","...  with a calm, consultative manner, advising on front and back end technologies, as well as <strong>data</strong> <strong>science</strong>. Ideally this position would suit someone with experience in: · Experience in working ...  with big <strong>data</strong> and <strong>data</strong> <strong>science</strong>. · A strong understanding of software products and development. · Consultative and client facing work within a technical environment. · Ability ...","Principal Business Consultant Big Data","Heat Recruitment",NA,"it-jobs","IT Jobs","Bristol, South West England",-2.5919,51.455299,"2016-06-24 00:03:40",FALSE,"-2.5919 51.455299",2016-05-27
"2762","257","395727953","2016-06-04",NA,"permanent",28871.19,28871.19,"1","...  techniques, including visualisations, to gain insights; breaking complex business problems into solvable <strong>data</strong> <strong>science</strong> tasks for other team members; and working with business stakeholders ...  throughout the business to use <strong>data</strong> <strong>science</strong> techniques to identify and deliver business benefits, translating Data into Insight and Action. Principal Accountabilities • Member of <strong>Data</strong> ...","Junior Business/Data Analyst","Carillion plc","Carillion","engineering-jobs","Engineering Jobs","Manchester, Greater Manchester",-2.23438,53.480701,"2016-06-24 00:03:40",FALSE,"-2.23438 53.480701",2016-06-04
"2765","260","392787134","2016-05-27",NA,"permanent",22000,35000,"0","...  Analyst, Modelling Analyst, <strong>Data</strong> <strong>Science</strong> Commutable Locations: Leeds, Bradford, West Yorkshire, Manchester, Hull, Dewsbury, Huddersfield, York, Sheffield ...","Graduate Credit Risk Analysts - Leeds","Rullion IT Plus",NA,"accounting-finance-jobs","Accounting & Finance Jobs","Leeds, West Yorkshire",-1.54912,53.799599,"2016-06-24 00:03:40",FALSE,"-1.54912 53.799599",2016-05-27
"2777","274","402801508","2016-06-23",NA,NA,18355.26,18355.26,"1","...  data and insight is at the heart of everything we do? And learn about <strong>data</strong> <strong>science</strong> from some of the best in the business? Then we have a fantastic opportunity for you. Our client ...","Graduate Junior Data Technician - £18k - £24k - Leeds","Inspiring Interns",NA,"customer-services-jobs","Customer Services Jobs","UK",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-23
"2784","281","399286145","2016-06-14",NA,NA,31000,31000,"0","...  edge of distributed computing and <strong>data</strong> <strong>science</strong>. Main purpose of the role; Hands-on coding in Java and other open source and 'big data' technologies will play a large part ...","Software Engineer Java","Concept IT",NA,"it-jobs","IT Jobs","Taunton, Somerset",-3.10345,51.014702,"2016-06-24 00:03:40",FALSE,"-3.10345 51.014702",2016-06-14
"2785","282","400275955","2016-06-16",NA,"permanent",50000,60000,"0","...  Learning / NLP skills. WHAT YOU WILL BE DOING As an experienced Lead Data Scientist you will be required to be the focal point for the development of a new <strong>Data</strong> <strong>Science</strong> function within ...  the business. As a Lead Data Scientist you will be responsible for the execution of new <strong>data</strong> <strong>science</strong> activities and for building new <strong>Data</strong> <strong>Science</strong> platforms which will allow the business ...","Data Scientist","Searchability",NA,"unknown","Unknown","Manchester, Greater Manchester",-2.23438,53.480701,"2016-06-24 00:03:40",FALSE,"-2.23438 53.480701",2016-06-16
"2793","290","400844716","2016-06-18",NA,"permanent",32000,34149,"0",". This is a fantastic opportunity for someone with good core Java skills to join a team on the cutting edge of <strong>data</strong> <strong>science</strong> and distributed computing. What we can offer you - - A competitive salary ...","Senior Java Developer","ORION ELECTROTECH LIMITED",NA,"it-jobs","IT Jobs","Somerset, South West England",-2.884066,51.067069,"2016-06-24 00:03:40",FALSE,"-2.884066 51.067069",2016-06-18
"2802","300","400752268","2016-06-17",NA,"permanent",60000,80000,"0","...  <strong>Data</strong> <strong>Science</strong> team pushing the boundaries of cutting edge technologies in <strong>Data</strong> <strong>Science</strong> & Big <strong>Data</strong> Analytics. The Data Scientist must have deep experience in statistical analysis, data ...  wrangling and exploration, big <strong>data</strong> analytics and <strong>Data</strong> <strong>Science</strong> skills using Python, Machine Learning & SQL. You will have strong experience in delivering significant valu…","Senior Data Scientist - Python, Machine Learning, SQL","Opus Recruitment Solutions Ltd",NA,"it-jobs","IT Jobs","The City, Central London",NA,NA,"2016-06-24 00:03:40",FALSE,"NA NA",2016-06-17
"2808","307","400813583","2016-06-18",NA,"contract",57657.71,57657.71,"1","...  to operationalise it Text analytics doing comparisons between different pieces of text to assess similarities Working with risk <strong>data</strong> <strong>science</strong> teams for proof of concepts Developing using public API ... 's to support their <strong>data</strong> <strong>science</strong> capability Ideally applicants will have experience of: Content management Machine learning Text data mining Database design 'Natural Language Processing ...","Python Developer - Financial Services","Elevate Platform Limited",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-24 00:03:40",FALSE,"-0.139134 51.503378",2016-06-18
